ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9993605,HY183630,03/13/2015 11:00:00 PM,001XX E WALTON ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1833,,42,8,06,,,2015,03/20/2015 12:42:30 PM,,,
9994509,HY184878,03/13/2015 11:00:00 PM,016XX N MAYFIELD AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,2531,025,29,25,04B,1136873,1910614,2015,03/20/2015 12:42:30 PM,41.910881588,-87.772615477,"(41.910881588, -87.772615477)"
9993608,HY183657,03/13/2015 11:00:00 PM,013XX W 76TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,0612,006,17,71,04B,1168378,1854318,2015,03/20/2015 12:42:30 PM,41.7557764,-87.658501819,"(41.7557764, -87.658501819)"
9993584,HY183584,03/13/2015 11:00:00 PM,024XX N MAJOR AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2515,025,30,19,14,1138006,1915908,2015,03/20/2015 12:42:30 PM,41.925388527,-87.76832504,"(41.925388527, -87.76832504)"
9993596,HY183568,03/13/2015 11:00:00 PM,019XX S SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1022,010,24,29,14,1154709,1890360,2015,03/20/2015 12:42:30 PM,41.854963925,-87.707634308,"(41.854963925, -87.707634308)"
9993636,HY183592,03/13/2015 10:53:00 PM,066XX S MICHIGAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,0322,003,20,69,15,1178130,1860711,2015,03/20/2015 12:42:30 PM,41.773104024,-87.622569602,"(41.773104024, -87.622569602)"
9993565,HY183573,03/13/2015 10:49:00 PM,015XX W 18TH ST,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,ALLEY,true,false,1233,012,25,31,04B,1166373,1891529,2015,03/20/2015 12:42:30 PM,41.857930551,-87.664788906,"(41.857930551, -87.664788906)"
9993533,HY183572,03/13/2015 10:45:00 PM,021XX E 97TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,false,false,0431,004,7,51,15,1192137,1841024,2015,03/20/2015 12:42:30 PM,41.718752047,-87.571862826,"(41.718752047, -87.571862826)"
9993595,HY183535,03/13/2015 10:43:00 PM,025XX S WESTERN AVE,1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,STREET,true,false,1034,010,25,31,15,1160739,1886777,2015,03/20/2015 12:42:30 PM,41.845009088,-87.685600697,"(41.845009088, -87.685600697)"
9993534,HY183574,03/13/2015 10:43:00 PM,049XX W WALTON ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,true,true,1531,015,37,25,26,1142992,1905894,2015,03/20/2015 12:42:30 PM,41.897817411,-87.750253998,"(41.897817411, -87.750253998)"
9993615,HY183602,03/13/2015 10:35:00 PM,125XX S EMERALD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,0523,005,34,53,15,1173650,1821489,2015,03/20/2015 12:42:30 PM,41.665573742,-87.640149744,"(41.665573742, -87.640149744)"
9993606,HY183622,03/13/2015 10:35:00 PM,125XX S EMERALD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,false,false,0523,005,34,53,15,1173650,1821489,2015,03/20/2015 12:42:30 PM,41.665573742,-87.640149744,"(41.665573742, -87.640149744)"
9993631,HY183511,03/13/2015 10:33:00 PM,078XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,RESTAURANT,true,false,0611,006,17,71,08A,1167004,1852397,2015,03/20/2015 12:42:30 PM,41.750534375,-87.663592017,"(41.750534375, -87.663592017)"
9993551,HY183546,03/13/2015 10:32:00 PM,125XX S LOWE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,0523,005,9,53,15,1174312,1821397,2015,03/20/2015 12:42:30 PM,41.665306642,-87.637729784,"(41.665306642, -87.637729784)"
9994529,HY184907,03/13/2015 10:30:00 PM,058XX S CARPENTER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,false,true,0712,007,16,68,07,1170349,1866168,2015,03/20/2015 12:42:30 PM,41.788251602,-87.650933994,"(41.788251602, -87.650933994)"
9994905,HY185536,03/13/2015 10:30:00 PM,062XX N RAVENSWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2433,024,40,77,14,1163266,1941618,2015,03/20/2015 12:42:30 PM,41.995443704,-87.674781393,"(41.995443704, -87.674781393)"
9993766,HY183876,03/13/2015 10:30:00 PM,021XX N KILPATRICK AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2522,025,31,19,03,1144664,1913914,2015,03/20/2015 12:42:30 PM,41.9197938,-87.743910425,"(41.9197938, -87.743910425)"
9993498,HY183509,03/13/2015 10:30:00 PM,009XX E 80TH ST,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,0624,006,8,44,07,1184065,1852200,2015,03/20/2015 12:42:30 PM,41.749612347,-87.60107917,"(41.749612347, -87.60107917)"
9993513,HY183540,03/13/2015 10:30:00 PM,043XX S TALMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0922,009,12,58,14,1159468,1875622,2015,03/20/2015 12:42:30 PM,41.814424675,-87.690571407,"(41.814424675, -87.690571407)"
